product_id,name,price,currency,image,status
100,WbwBEBu,49,EUR,kXeQKQUP oQhWvFzaBzt,oos
101,Xw OfJF,586,EUR,YfElsPGicQOxpWdvZ oVniRkM,oos
102,BWAI,628,PLN,tGVOJDdlSYwKIHMYxqAEHQjNG,oos
103,ftxaa,347,EUR,urSLglcpMCcQqnoGczXGIoWnN,available
104,xKpeTJN,551,CHR,ltyQCauscDRzYMzYTXvjz,available
105,ezsDx,520,PLN,WZYmWWcMGyLYcBhWRXrQ,available
106,WKniIM,864,EUR,AnJXXQTTUyxuvSufG SSUS,oos
107,WNPb,317,PLN,yAIsbPmTflCz RDXSDdA,oos
108,elIDur,432,PLN,LkbfOLwKlZSptrDLjKHuliPj,available
109,bdKYVlJ,737,PLN,eFGEscZoURYo bUKsTjrM,oos
110,blaMd,103,CHR,bfbHEup vaborUDvoqTK,oos
111,RgE iwl,324,EUR,OhFozRepjwVRqgFkzeokUqVzV,oos
112,XeCNZvs,421,PLN,zWsKhLiFAdkPwtYWiUaFRKTf,available
113,HQRuFLl,452,PLN," hdvcBShjpahKzoUpNcHY",oos
114,jXpsKEP,152,PLN,BaGAQO cfafMlzbVWGDECsMAo,available
115,TVzwbVV,922,PLN,qkJQVwdIzzOKXWjqJtKP,available
116,OBWlXN,361,PLN,"pUFjMjElbqGx PWGbjpBsN ",oos
117,MXOJ,34,PLN,OkGrKnyafowDoDOoIWsaw,oos
118,njXh,797,EUR,Tb bXUdXkJamij TBltOxbUrR,available
119,cXOi,596,PLN,IuUlRsusFrZXQGleoSxxeLcvQ,oos
120,adCfXQC,746,PLN,iMYKASDBMCGrCPyL CsxqGoc,oos
121,uPyZemf,113,PLN,lZvxBJWjfRAkyXMFFXhINZmd,oos
122,xdoL,787,EUR,liwlCrwpRZeEegbBrelAKfSn,oos
123,YQNaie,945,EUR,DrsKYnSxweNTCGoSQQtfg,oos
124,MADbdU,367,CHR,ljpSejmWbhAZaBjDPRHVS EA,available
125,dfzV,723,EUR,qilWgEmJwTmYQwaFXqKH,oos
126,ohbXeSB,872,EUR,aJabEPFMqSXgnuqgiWKjUFWTU,available
127,gEjF,282,PLN,IEdHTWLHULflqJeRGLUnWVv,available
128,MGmsd,348,EUR,FWYonKqvPRGqyzffZSee,oos
129,YnLs,730,PLN,HzjS LQgJ XuSvvpANPGw,oos
130,nsMN,692,PLN,zDRFQdUPehtLafQgpEJt,oos
131,ZuwKQl,562,EUR,PjXczUQ RuCokTULWRnGrk,oos
132,DbKQIl,777,CHR,CrImzgHlqtnJijjPqpoObuK,available
133,kBHKXzP,664,CHR,NcUcQftMzxqLwYgDgoIPYN,oos
134,PfMRC,150,PLN,GvZMsRSailINqbYQArfaj,available
135,ApYk,175,EUR,pTGsmmKuISPAUqpHqqIcJu,available
136,V OInA,171,EUR,PxVYRTPBMLEXUzAgEuWKidRR,oos
137,vBQY,887,CHR,pCsYtJUNudprujegQcyFly,oos
138,Ilns,139,EUR,KTwB ZpqXQWHhDRyNiHlfHjr,available
139,NsbxNah,990,EUR,HlsPSbShRSFhyYnvAvKfKA,oos
140,ggOPuq,70,CHR,bxunkHAPiZiHASLvrUmxW,available
141," qihzKY",615,CHR,EeTuDFaTDTCxtNvwWFLAk,oos
142,ZItzNO,333,CHR,oFfAbyCkGCrwLVpJyNdtfNa,oos
143,"LAw ",754,PLN,apUCqBCiGgKcRAMUYnbdvkLva,oos
144,BbCffQ,644,PLN,vhwsNETUYfnXfGsakxgiDZy,oos
145,ycONR,27,PLN,MfwhdXmiOAYxsnrBZhkWdNK,oos
146,TvsZHcA,404,EUR,gpkoibwqJUqxahxqtJvfPdTKR,oos
147,BjbvjN,904,PLN,miNhBSIFSPAqUuyASdTRIUyp,available
148,WRVkeCs,43,CHR,agVUngYefzsOiPhTWVWxRK,available
149,rhhCfQ,696,CHR,yhCBIgMTOJKeamzwTfsEV,available
150,IvSg,973,PLN,IPVVcJsgsJRLUQIzL LmTrwC,available
151,kXuUJQ,169,CHR,seqwYNuAUhSbWxJTLkyOpia,available
152,nJmuGZk,865,CHR,BENzujiVOudDDDAORtuY,oos
153,Wvdk,12,EUR,qJnTbNytZ FCNbuDprVNX,available
154,tjwp,147,EUR,YcVYUphudiQqYIMqSzae,oos
155,kiOV,745,CHR,K aHQojHwXwbwnnCkQSFY,available
156,suTGMHK,343,CHR,MAtnGVmHyySyOQfGXzPhTaotY,oos
157,LvjUi,978,EUR,HPTTppyslTqfLlmwzUmFkb,available
158,UFIFXmQ,16,EUR,dUkppoWVbFRZycHXzKWels,oos
159,grPQ,427,CHR,UuEqyFNrjfWpXeZANpbvmRS,oos
160,sqOwii,557,EUR,nAymOkFSbQZPBw UFUuTWsS,oos
161,VSloP,509,PLN,XBnYbVnSUwXaxdErtBmRig,oos
162,FVeLly,744,CHR,cfZjrhoDLRjQHnNepoSOnIy,oos
163,LSnQzU,990,CHR,BjxfJzunEIulQYHMXJFVOswbr,available
164,yCdheB,935,PLN,pMgxhZvEehMSYRPIKNwxVnzA,oos
165,jurJfNZ,889,EUR,bCCvFaeLEqOCncdRkGYb,available
166,ZIhDPHw,288,CHR,NSksQclxxTHSykvNDCUUAN,oos
167,QmSdOZ,499,CHR,GzxTSkDCaeawutwkPgoGl,oos
168," HiUL",182,EUR,baRVWRhoJummCUSxQICLAvhZL,oos
169," jWEN",765,CHR,STXxwkMqovpOcVKZaYJIbKZP,available
170,WbEu,767,PLN,haLKYPQIOLWWXHCahqcgDFH,available
171,lcD TJ,153,PLN,YdbpYGHpYC bYvggZONkxbK,available
172,kdjM WM,200,EUR,xOJyZZBagsFblpLlfImhLmENs,available
173,noXLLRs,693,PLN,duXTrzinjIPQkOJnY ugIHK,oos
174,oLhUBT,374,PLN,fDmUrPaMwJJFXQu NSJE,oos
175,YRbRtC,902,CHR,UtRLXpVghtzAnQyyIOYJC,available
176,YF yBS,568,PLN,CRsyiZYWVJZAuNRJnRbsZkUd,available
177,TXXRJj,43,PLN,mgmyyBkQEbiWDLHGLNAROUh,oos
178,vVlCMY,592,CHR,joEowQaLOMIZTAyZLRJG,available
179,FdrZmqd,603,CHR,d NrkigRdgjvCPfGcDy VlfUe,available
180,XHoSQ,457,PLN,mOIQtlgltEcjfsWgfoIBOhx,oos
181,SVlla,373,PLN,bHlbEigdxUkyxZXrFEswX,oos
182,ZJXc,40,CHR,dOgwpNmZWxmVpcGfKoByAlhzo,oos
183,wLtVQS,401,PLN,QZcIHGIatHfQLWWZMhgsJDy,available
184,LnsoDl,435,EUR,rNWxXlcAlPQQxVZRpzLvxBJ,available
185,LCmODC,666,EUR,DBdqRdlvdKZZbzeZjxykONiP,oos
186,oXxhMK,381,PLN,MoTWunjRtWHPezzIwfZnYqwR,available
187,SPRKQor,883,CHR,qlRWdATQhqiudKZPQ um,available
188,lkDrPR,77,CHR,CrVdCtDEmGJKnViHDQPugJf,oos
189,xMFmh,30,EUR,zurxOIyfevZ nKFFHmaroVq,oos
190,bQSpsz,953,EUR,P QKSBYzdhJeejUDcpMhypvNK,oos
191,MqCANg,386,PLN,sCEXgnbcQyciiyddiJdR,available
192,cNywGrc,668,PLN,yfnRxsWGBBZmfjPVF vrBT,available
193,pMzYJCx,289,CHR,hxlnsNMRfuK rJFOSBhLJY s,oos
